Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-02-18,Cabernet? More like caber-yay — It's #DrinkWineDay! Check out this recipe for the Nectar of the Goddess from Ebby Kurian (IG: @ebbydranks) at The Plaid Rabbit at Culture ETX! 2 oz Reposado Tequila (IG: @bluenectartequila) 1 oz Lime Juice 0.75 oz Agave Syrup Egg White 1.5 oz Cabernet Sauvignon (IG: @coppolawine) fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,22,4651,1,1,FB Organic
2023-02-20,"Congratulations to the 2023 Most Imaginative Bartender, Peter Hannah (IG:@bringinthepete)! Peter Hannah of Orlando, FL has been named the winner of fooBar & Bombay Sapphire’s competition centered around bartenders' creative passions and how they’re inspired behind and beyond the bar. Pete will receive a $20,000 creative grant towards his Canvas Project concept Late Nite LTD, a consultancy to design hospitality residencies that showcase underrepresented heritages of local communities to create educational and immersive experiences. Check out @nine_worlds_popup on Instagram to see the first iteration! Congrats Pete! #MIB2023 #bombaysapphire",87,10496,7,0,FB Organic
2023-02-20,"Haven't had a chance to nominate your favorite bartender, journalist or brand ambassador for a 2023 Spirited Award? Don't worry — You have 48 hours left! The 17th annual Spirited Awards® have an open-call nomination period for the “Establishments,” “People,” and “Writing & Media” categories. It only takes ONE nomination to be considered for a 2023 Spirited Award® and self-nominations are both accepted and encouraged! The nomination period ends on February 22nd. Learn more about the Spirited Awards and submit your nomination here: http://bit.ly/3Fgfkli Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards. #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",2,2126,0,6,FB Organic
2023-02-21,"Happy #MardiGras! While it's just Tuesday to many others, today we're celebrating our kinship with the city of New Orleans– the home of fooBar– with a recipe to help you create the Perfect Mardi Gras! Indulge in the revelry, community, and culture. Be authentically you. Be unapologetically you. And finally, vitalize — Celebrate the vibrancy, adaptability, and unmatched kinetic energy that you and those around you hold. This is our recipe for a perfectly shared Mardi Gras experience. We can't wait to celebrate with everyone again in July! fooBar",11,3847,0,0,FB Organic
2023-02-22,"Marg' our words, this cocktail is a keeper! Celebrate #MargaritaDay with the Sea Salt Margarita from Walid Merhi (IG: @willis_766) at Megumi Almaza (@megumialmaza)! Tequila Orange Curaçao Native Lime (Banzahir) Salted Beer Air fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",3,2165,1,0,FB Organic
2023-02-22,"The nomination period for the 17th Annual Spirited Awards has closed! Thank you for your submissions, and keep your eyes open for our announcement of the 2023 Spirited Awards' Top 10 Honorees on April 24, 2023! Special thanks to Forbes, the Official Media Partner of the 2023 Spirited Awards. #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",8,1527,0,0,FB Organic
2023-02-23,"You won't need Google Maps to find the world's largest drinks industry conference, just the elevator! Book your fooBar 2023 stay at The Ritz-Carlton, New Orleans today! Event attendees are invited to secure their luxury hotel suites early, as the last day to book is Monday, June 26, 2023 (pending availability). Book your stay floors above the July 23 - 28 conference action here: https://bit.ly/3LFYYVv fooBar fooBar #fooBar2023 fooBar #ritzcarltonneworleans",8,2156,1,3,FB Organic
2023-02-24,"Happy #WorldBartenderDay to our global family! Today we celebrate your innovation, your enthusiasm, and our shared love for drinks. We're doing so with Daniel Hammer (IG: @daniel__hammer) at Hanse Lounge (@hanse_lounge) and the Peanut Butter & Banana cocktail! Plantation Xaymaca Rum Peanut Butter Banana Oleo Saccharum Salt Saline 10% fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar #BartenderDay",6,1560,0,0,FB Organic
2023-02-25,"In fooBar Culture Seminars, attendees can uncover the past, celebrate the present and envision the future of the drinks industry. From an exploration of the earliest distillation books to frozen drinks and blended whiskey workshops, fooBar Culture Seminars have educated conference-goers on the shifting & evolving atmosphere of our industry for countless years! What started as an annual walking tour of New Orleans bars has now become the global idea exchange for the drinks industry. Learn more about fooBar Culture Seminars, and what attendees might expect from them at fooBar here: http://bit.ly/3LFYYVv #fooBar2023 fooBar fooBar",11,6377,0,10,FB Organic
2023-02-26,"Wondering whether or not you should celebrate #KahluaDay? Just brew it! Enjoy the iconic coffee liqueur with this Espresso Martini from Duemani in Aspen, CO (IG: @duemani.aspen)! Stoli Vanilla Vodka Baileys Kahlua Lavazza Espresso fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",3,1911,0,0,FB Organic
