Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-02-15,"You only have 1 week left to submit your nominations for the 17th Annual Spirited Awards!⁠ ⁠ That means it's time for a Spirited Awards 101 — Here are quick facts regarding the nomination process for 2023:⁠ ⁠ Categories open for public nomination are NOT based on the volume of nominations submitted - You can recognize a bar professional, establishment, ingredient and/or media.⁠ It only takes ONE nomination to be considered for a 2023 Spirited Award® - Self-nominations are both accepted and encouraged.⁠ Anyone can nominate for a Spirited Award, even yourself!⁠ ⁠ Submit your nomination today at the link in bio!⁠ ⁠ Special thanks to @Forbes, the Official Media Partner of the 2023 Spirited Awards.⁠ ⁠ #2023SpiritedAwards #SA2023 #SpiritedAwards fooBar fooBar #fooBar2023 fooBar",289,13974.0,6,0.0,Insta Organic
2023-02-16,"The Brisingamen is just as brilliant as the golden necklace it's named after! Enjoy this North Sea Tiki popup recipe from @socksorneat, @bobbybevnaps, @bringinthepete and @nine_worlds_popup! ⁠ ⁠ Strawberry Lemongrass Vodka⁠ Swedish Punsch⁠ Cloudberry⁠ Crab Apple Verjus.⁠ ⁠ Garnish with Strawberry Leather⁠ ⁠ : @jimijam⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar",344,9056.0,6,0.0,Insta Organic
2023-02-17,"We're continuing to celebrate #BlackHistoryMonth through 2 informative & enlightening Full Hands In/Full Hands Out episodes from 2020 — Both centered on the Black experience in the drinks industry:⁠ ⁠ ""Cheers to Black-Owned Spirits"" — @forthecocktailculture's LaShana Daniels and @willdrinkfortravel's Ashlee Tuck met with Black producers to discuss the processes, barriers, and innovations behind black-owned brands.⁠ ""Black. Queer. And Still Here."" — fooBar Grants Advisory Committee Member @chrscab hosted a panel discussion with six prominent LGBTQ+ Black bartenders to discuss the obstacles they have faced when finding their place in an industry that doesn't seem diverse at first glance.⁠ ⁠ Find both episodes at the link in bio.⁠ ⁠ @nayanaferguson | @anteeltequilas | @ceo_fd | @foudrevodka | @thebestjasonintheworld | @guidancewhiskey | @shayswood | @HHBespokeSpirit | @adiossuave | @montfleurduvin | @fatbobby295 | @shinjuwhisky | @thedrinkingcoach | @trophypony | @darelmiller | @simonemims | @perowowshestall | @rum_maven⁠ ⁠ #BHM fooBar #FHIFHO2022 #FOH",93,5871.0,4,0.0,Insta Organic
2023-02-18,Cabernet? More like caber-yay — It's #DrinkWineDay! Check out this recipe for the Nectar of the Goddess from @ebbydranks at @theplaidrabbitetx! ⁠ ⁠ 2 oz @bluenectartequila's Reposado Tequila⁠ 1 oz Lime Juice⁠ 0.75 oz Agave Syrup⁠ Egg White⁠ 1.5 oz @coppolawine's Cabernet Sauvignon⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar,996,25676.0,12,0.0,Insta Organic
2023-02-20,"Congratulations to the 2023 Most Imaginative Bartender @bringinthepete!⁠ ⁠ Peter Hannah of Orlando, FL has been named the winner of fooBar & @bombaysapphireus’s competition centered around bartenders' creative passions and how they’re inspired behind and beyond the bar. ⁠ ⁠ Pete will receive a $20,000 creative grant towards his Canvas Project concept Late Nite LTD, a consultancy to design hospitality residencies that showcase underrepresented heritages of local communities to create educational and immersive experiences. Check out @nine_worlds_popup to see the first iteration! Congrats Pete!⁠ ⁠ : @shannonshootscocktails⁠ ⁠ #MIB2023 #bombaysapphire",283,8764.0,6,0.0,Insta Organic
2023-02-21,"Happy #MardiGras! While it's just Tuesday to many others, today we're celebrating our kinship with the city of New Orleans– the home of fooBar– with a recipe to help you create the Perfect Mardi Gras! �⁠ ⁠ Indulge in the revelry, community, and culture.�⁠ Be authentically you.�⁠ Be unapologetically you.⁠ And finally, vitalize — Celebrate the vibrancy, adaptability, and unmatched kinetic energy that you and those around you hold.�⁠ ⁠ This is our recipe for a perfectly shared Mardi Gras experience. We can't wait to celebrate with everyone again in July!⁠ ⁠ fooBar",106,4483.0,0,0.0,Insta Organic
2023-02-22,"Marg' our words, this cocktail is a keeper! Celebrate #MargaritaDay with the Sea Salt Margarita from @willis_766 at @megumialmaza! ⁠ ⁠ Tequila⁠ Orange Curaçao⁠ Native Lime (Banzahir)⁠ Salted Beer Air⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar",186,6440.0,4,0.0,Insta Organic
2023-02-24,"Happy #WorldBartenderDay to our global family! Today we celebrate your innovation, your enthusiasm, and our shared love for drinks. We're doing so with @daniel__hammer at @hanse_lounge and the Peanut Butter & Banana cocktail! ⁠ ⁠ Plantation Xaymaca Rum⁠ Peanut Butter⁠ Banana Oleo Saccharum⁠ Salt Saline 10%⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar #BartenderDay",300,8638.0,4,0.0,Insta Organic
2023-02-25,"In fooBar Culture Seminars, attendees can uncover the past, celebrate the present, and envision the future of the drinks industry.⁠ ⁠ From an exploration of the earliest distillation books to frozen drinks and blended whiskey workshops, fooBar Culture Seminars have educated conference-goers on the shifting & evolving atmosphere of our industry for countless years!⁠ ⁠ What started as an annual walking tour of New Orleans bars has now become the global idea exchange for the drinks industry. Learn more about fooBar Culture Seminars, and what attendees might expect from them at fooBar at the link in bio.⁠ ⁠ #fooBar2023 fooBar fooBar",203,9454.0,6,0.0,Insta Organic
2023-02-26,Wondering whether or not you should celebrate #KahluaDay? Just brew it! Enjoy the iconic coffee liqueur with this Espresso Martini from @duemani.aspen! ⁠ ⁠ Stoli Vanilla Vodka⁠ Baileys⁠ Kahlua⁠ Lavazza Espresso⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio.⁠ ⁠ fooBar,162,7055.0,2,0.0,Insta Organic
